,src,tgt,path
201,exit area staircase turn through door chairs toward way wait by first window,"Exit living area, pass the staircase and turn left and exit through the door. Pass the chairs toward walk way. Wait by first window encountered. ","['7e8ac490e6f84193a96102e057d2c204', '913aefa5733c425eb79de9f5e225cd0e', '1ed94833574445718438b36dc35ebac4', '9df66f4cf606401998e65cc1aeabdb17', 'ca9b27594a42478194e66ccf076fd73a', 'a408da1db2024ee0b2ef470e3a85153d', '0a5f2a70a55e44428bd645c745920e3d']"
202,down stairs wait on red rug,Walk down the stairs and wait on the red rug. ,"['8a6b00dd0b0d4759bbfae067cc206ac3', '484070b0ecd942cc882f77f5fee5ca9a', '50a28bec19bd4ad5ab3c97f58554599a', 'cefe85eb9d1e4592a020547df6107246', 'cc0682e6d88a44f3bfaeb81e91a79124', 'd0b75539f2484b0bb8e1612e549c06d3', 'baf252d021004390831cffc0c4987afd']"
203,turn slightly right forward straight into doorway in front of with rug once right in doorway of room,"Turn slightly right and walk forward straight into the doorway in front of you with a rug, Once you enter, turn right and stop in the doorway of the room. ","['3db5fff51a954223b9cccd87dc475ce3', 'b5f0bae656ce405ab4dff8bcc5b6c26a', 'f07a5e07bf3f4e5a8f74705dc211e55a', '1bc63da6b7cf473abd0675a6b927e56b', '8fab97869cf5427d94ea2bc3c04d2856', '6c6a1962787d4f429c7e0134404c5ccc']"
204,into room right then at stairs next left,Go into the room and turn right. Then turn left at the stairs and take your next left. ,"['add7a68256564d1b85b560fb614beedd', '34276b7c9d6e491885f36dd1d286e477', 'c8ce61375bc8403691ec503de5401235', 'eda4b648d33d436aa09516400af0de9b', '7c41f500f2ce4b7a9916e292221a7740']"
205,through glass doors turn into double glass doors on left wait there,Go through the glass sliding doors. Turn left and go into the double glass doors on the left. Wait there. ,"['d922a7a5956c4a42af51637f14c165d6', '5a57fb3d78084b48a7c31e681b7bdf0e', 'bcf3463301624f4dba2b47c485dc9d25', '1d92d04ac48e4d5baea0529c7773a4ec', 'a4ccec70ea184a98b472ef838398ff73']"
206,exit bedroom turn bedroom on right,"exit bedroom, turn left, enter bedroom on right. ","['184edf3d3a4d482dae288e4811945331', '97568b167b2f41599faf06c4dab447d7', '5d711de78dbd400aa4cfd51fc05dfbee', 'fa7122ef2199445485623708ea54d018', 'f7ab5b3ece274b48be57eb65bb6d4814']"
207,head into room exit into hallway right wait inside bedroom through first door on left,Head into the sitting room and exit into the hallway. Turn right and wait inside the bedroom through the first door on the left. ,"['7a8fc0425e0c40a69fb216c5345e157c', 'fae83673fc694cd9a18c215ce6d92c58', '28c09c307b11487c999f88e1e9ec3231', 'ecff9ecf0cfe4d8bb83260fc092f3b00', 'd1ffe5280fce4ac5a949cdc9ee8b6f7c', 'dbc0fd77d9384e14a6d0a19302b85a15', '55d758f8ca7243b5be0fc24557452329']"
208,walk out of room stairs in middle of landing on stairs next flowers,Walk out of the room and go down the stairs. Stop in the middle of the landing on the stairs next to the flowers. ,"['3e35871a75e542e7ae042682b6e9faed', 'bbd00fa328db45e19a55bef3b3cb4b23', '7d0855f289224c24b83f2b19b15c1d6d', '30ac7a9f6c8d4bc4b27b7b2782f2eb99', '8d4b6c6b93934835a39c391d39f5a537']"
209,out of doorway walk behind table chairs with table on right then around area in front of doorway on right right turn walk toward doorway at end wait there,"Make a left out of the doorway and walk behind the table and chairs, with the table on your right. Then walk around the sitting area in front of you to the doorway on the right. Make a right turn and walk toward the doorway at the end. Wait there. ","['add134cc07e64d9d8524d0d9f96c4180', 'ce5df3235866447d95c4667d72528984', '21dd8e71dae64f378401cb0eba702b7d', '9209d2ffc38e477fb84c9ee9eda2fc7e', '5b4f88b00af3413eb8a3706a62a761e1', 'd86710102df44f0083553f7e356e18ea', '5b951c3db95148eb8fb7963165f14e8f']"
210,laundry room right onto balcony through door across hall once off rug,Leave the laundry room and go right. Go onto the balcony through the door across the hall. Stop once you are off the rug. ,"['ab178a6f3b0940878d38744498df88bf', 'bff52b252a464909ad342ea7eb971750', '050910e36ac9414c91bb44d962153689', '7b708eb6eca54256976220baf01508de', '18940ca3b21745a8bd52557dc4b8abb3', '9297f6e3bbf646c19c811b380f5fbc55']"
211,turn around straight at hallway,turn around and walk straight. Stop at the hallway. ,"['814d9aba371640e5a70bcb7833bfe08f', '1e951fdbfd9d45bbaf935da945f5425c', '62e602fc5b85463dbd8f48ba625d05ef', 'e0d2a4e22abe44d7810d7e448fff6704', 'f553a3287fb2438b979f09b09448c7c0', '74a12d0675b54d6193ba63104a6a8e2e']"
212,walk from stairs across room table stop,Walk from stairs across room to pool table and stop. ,"['e5e991d56b1040c697d713ea1e9fdf9e', '3fce8d41890d45c0aaf6b38aad66be51', '89aa659e5baa4581927dae36e3dca764', 'eaca060f2b564e1ebf5a4b4f0411fd5e', 'f00970b67a46474cb616cd98cda9dee6']"
213,turn right down hallway till right past fireplace walk towards chairs then right stand by first open door wait there,Turn to the right and walk down the hallway.  Walk till you can turn to the right and walk past the fireplace.  Walk towards the chairs.  Then turn to the right and go stand by the first open door.  Wait there. ,"['f0501ef281ab486eac400af37a580e19', 'ba692fd9ec524282935a608d975374e3', '9bbc936210084a00ad05856e0f5a3364', 'cf4babf2d24a44418351494fa1cb5ebf', '0e8e2c9d09974dab977c1d3868286f12', '9766d89c21094c5b872be3a378d4cbad', 'ae97478ce1c84d5588244906fe089558']"
214,walk across kitchen slight right towards hallway.enter hallway slight left hallway study at desk,walk across the kitchen and make a slight right towards the hallway.enter the hallway and make a slight left follow the hallway and enter the study. Stop at the desk. ,"['491b9b2d5e63400f9b448e5603dd05ae', '0fd8c430bdb34aedb5c11b56ceb13b63', '01b439d39a8f412fa1837be7afb45254', 'b6018ae2d13248f7a12edbf31f70b04d', 'd90dea9462374ee08a44f35e4505926e', '4304b16fd7b744ec8cd9277d0adcb4da']"
215,exit room right by doorway bathroom,Exit the room and take a right by the doorway. Enter the bathroom. ,"['591d3c367a09478b8a863f17635749e4', '4b82c138b8b743479d535513aabfabf4', 'c9030e71fc29447599a5c21d90261ca5', '0fc2263dc29f4a9183320eddd33edb58', '15b25adcf9bb4a0f8c751138a651dd8b']"
216,walk between tables towards doorway then left once through doors couple of steps then right there,Walk between the tables.  And go towards the doorway.  Then turn to the left once you're through the doors.  Walk a couple of steps and then stop. Wait right there. ,"['47efbab436ba4f6e84c5c1b6dc18ecab', '222abe0ba4e34b4791c539e94696e6e2', '79569bffc7674614a31ad21a0d3f922f', 'ad506c95650a444eb205c2f9ebbd26fc', 'd0b27407bb1e4e2d91592959e52bd102']"
217,turn right down hall at end of hall wait near exit sign,Turn right and walk down the hall. Stop at the end of the hall and wait near the exit sign. ,"['bc57b2c41c444fd6b2da5cfdfaa865a5', '19c436824dcf4f4fae134b0dc064a367', '3f227a714e3c44aba3a19efe7b8b1681', 'be7c88ff81f04b52b18125c6c9f4b84f', 'ef530e2d9a85465685b0fedbe669b84a']"
218,exit massage room straight into next doorway then,"Exit the massage room, go straight into the next doorway and then stop. ","['b889bb15538844beb074db42bd8d9ed4', '7798eee8ae4a4fc483da87e8e04b659c', '869e52d579cc4c9a85979d3e20eb2455', '04dba6ce40274f9b80f8e18eb201d33b', '95903e1adf7e4ce9a87b9df4e9ec63e6']"
219,with entrance kitchen on left forward hallway then stairs on right at top of first flight of stairs into room on left,"With the entrance to the kitchen on your left, move forward down the hallway. then climb the stairs on your right. At the top of the first flight of stairs, go into the room on your left. ","['ac7dada90385448a8e7d69f76022cf5b', 'c0f278be26a44d46abe9d00341125de0', '1cd3d12fe013476fbb2fbcb7af9d5104', '0e44c51fc1b947e0a44963d83f2ab6f1', '1f476bc71f514d4c8cd520d4ceddd5f7', '415e580b07194f469491203548891d84']"
220,straight hallway turn stairs wait there,Go straight down the hallway. Turn left and go down the stairs. Wait there. ,"['9594700e2d354cc89c318b8df7ac29b1', 'f99835e3fffc45bbb3b4c992c78756e5', '12c934ed973740efbdbe207ab3a064d3', 'fa51cb2051f240d795737cdffeda6178', 'd5dbd24d1b9c404a9b4fc687ecf17a4f', '0aa7d38c4a904859b548bd69f4691106', 'c6ee591e1061490d8c15ff8de1ab58aa']"
221,walk through entryway stairs at top of stairs,Walk through the entryway and left up the stairs that curve left. Stop at the top of the stairs. ,"['0e59dc94728348e7a3e5e3746f2742ea', '1b07d95cb6784bbebbc116ed20469d65', 'f4810f2f18cb497389628bd8738ba036', 'e49192047ff241b5933dfef7b832b8fe', 'f490656d21134ff79be372d985ad965c', 'fd263d778b534f798d0e1ae48886e5f3']"
222,with back towards wooden table chairs forward right hallway until at entrance ladies room on right,"With your back towards the wooden table and chairs, go forward and turn right to go down the hallway until you're at the entrance to the ladies room on your right. ","['3611ca6eb11f4a32a7cd3c073862860d', 'b2d31a869b644c738697a237d4e724b5', '3d6c224493aa4b8fa5fd16e7ae8e2d66', '9c36a2928f3d436181736d628dd0a694', 'ca8f4ab52e7d402a9d796b1f24c0ea64', '5fa450a5199b41b5b46628e473f20374', '4903a8de1d0945b6bd815f11aa2850e9']"
223,walk through living room area sofa bar stools near sink walk through open archway on other side of room right through open bedroom door,Walk through the living room area passed the sofa and bar stools near the sink. Walk through the open archway on the other side of the room and take a right to go through the open bedroom door. ,"['491b9b2d5e63400f9b448e5603dd05ae', '0fd8c430bdb34aedb5c11b56ceb13b63', '01b439d39a8f412fa1837be7afb45254', '818d69716786445f8eef89a590ec3f52', '92ffe9fa9ea6437c88eac23b0bafc0bc']"
224,past stairs into bathroom near bedroom door large shower sink wait at door,"Go past the stairs and into the bathroom that is near a bedroom door, and has a large shower and a sink. Wait at the door. ","['dbc790464a2d4f509490033ac0cdffb0', 'cbc9652650d44dac8c2652a0ce1cb7f7', '4350d36797324601adba7351d09602d2', 'cc15fb105d86466faafdd633f89148de', '01b11b701b5240a48be2a86171daa245']"
225,turn left right after table with white tablecloth right after bench with black leather wait next white chair on right,Turn around and take a left. Turn right after the table with the white tablecloth. Take another right after the bench with black leather. Wait next to the white chair on the right. ,"['06c88433ed80477f90bd50f8dc25e7de', 'fa1f118c0f924788aa7ea44f690a054f', 'ccfc7026f4c6494ca251076c85aa906c', '17be6f4e233546548c6c03fef0459044', '35b3d70f47994598aedb510108752797', '1948f7cff5b04572b43c105a61df7a6d', 'd08536af13b44cf486b3d906d76cfaf8']"
226,turn room through wood doors turn enter hallway into first door on left once room sink on back wall,Turn around and exit the room through the wood doors. Turn left and enter hallway. Turn into the first door on your left. Stop once you enter the room facing the sink on the back wall. ,"['acd5131e62ab439aa224d1da37766cdb', '17742c6021db40cb9baf6e5b32ed447a', '0ae8865e3c2d4c3388014c7d85b5ed12', '58548bb6a2fc4c7c8bbedf016c536b13', '501146779ece478696abb65fcce6ed48', '0d77dfd7a3894c1d83bd26c4a1c8e3ee']"
227,exit office turn right then right again in doorway,"Exit the office, turn right, then turn right again. Stop in the doorway. ","['c33f95b00a9548cab093b6c1a49b5c35', 'fa6d662db40c4335b899082f62b51111', 'e52609aae11f42a79f6cf50360180fd5', '8c414a8052c844b4bcd5dc3fadde7f8c', 'd2dcbd73533446dcaf50e6be98c30386']"
228,stairs in bathroom,Go up the stairs and stop in the bathroom. ,"['0836acc78091475dbba186b98e05792a', 'ab0f99b210bb4556b7fc18190126480b', '85849923dc9e46eda0168f62c0fb43f3', '42135c66aa4d464aa8a91630c187ed99', '5c4627e7805347bc8c09ba17aa248696', '1430dc4987e248a7a9ec03ca89714127']"
229,forward with hutch on right then into room on right slightly left through doorway left of stairs forward through second doorway then,"Go forward with the hutch on your right, then go into the room on your right. Turn slightly left and go through the doorway to the left of the stairs. Continue forward through the second doorway, then stop. ","['9f70e20483d84f4b88040954003b054d', '7cc396bac34f4fd3a468f0668e11bd25', '2947bd93d2c74d2da50d472185b29064', 'f4ba8b92d7534b83ade9b8b548d1a17d', '3bfd9fd5da794aae802d155bdfdb7ce9', 'd920493bee8644abbb7ecaa0bf69f6f6', '9f4accb512df4fdba5ef30e6a28817c4']"
230,walk toward bookcase stairs into bedroom in bedroom stop next first edge of bed,Walk toward the bookcase and go down the stairs into the bedroom. In the bedroom stop next to the first edge of the bed. ,"['3b165e9f2f0a4317be49995470e65e02', 'f5a52ba78b2e4772a7315af44e0439e0', '2238391e894144e9aaf38aaa16433153', '4df525c1410447848d24dedb3c31a7be', 'f923d8ec1f32400c864837ba572fe199', '4fe4474e9bf9429ea92d202bdea4dce5']"
231,exit bedroom right turn down hall stop at gray stone flooring left turn left turn into dining area with bookshelves walk past table in room stand at edge of rug next room,Exit the bedroom and take a right turn.  Walk down the hall and stop at the gray stone flooring.  Take a left turn and continue walking.  Take a left turn into a dining area with bookshelves.  Walk past the table in this room and stand at the edge of the rug where you can view the next room. ,"['9df5f6ec205f4c8088cc80891d97675e', 'f97898ee20f74b2d8627f5065d633d45', '2ebc2682287645efabf7f2319682aab1', '904beb4bca9e4e2b8d15f3af9b70a242', '9c2919ad974d472fa4f97c01005666f0', 'fc30206582bb494190095c4439e2da29']"
232,walk over pool,Walk over to the pool. ,"['626241dbd7334a45868a1092a3e195af', '4838fa0d949e4cd3905f5e1ba665c59b', 'd7fd6e3ab372450b8f38600aea06b680', '1157d0f379f04c5ba4ad1b40bdd32e64', '8c77db8279a84ad382a298afaa6d6adf']"
233,down steps right forward past guitar walk into second door left just inside door,Walk down the steps and turn right. Walk forward past the guitar. Walk into the second door to the left. Stop just inside the door. ,"['959878d8792948b5888684622f4eca36', '0896e14268a54c1faa6a5648eb8eb63b', 'fa30e6859ca249a78879975b0b659bfb', '28a8a22473e342f7be7ed0f33e4272e3', '2287f7e926a7402a8723eaf0db683d09', 'dd500133846248c1b24eea995d7dee4a', '59bb2a23ea8547ee9a9d05cb436a621b']"
234,turn past bar outside just outside doorway,Turn left and walk past the bar. Walk outside and stop just outside the doorway. ,"['d1732bbf32ad4cf096975da88e5b2cfb', 'ffd2d7780984422f8e1f8f6f79ea89af', 'c34505b3a744494daa6dbed3e9308119', 'a2e6626d7a7e4c7297e0609c92aa7945', 'd1de08c84e9e4f42a0acaeee738df23a', '99dc41ba4676449d8fc37890a38ad9e3']"
235,walk towards white door on left into kitchen walk past white chairs past dining room wait at doorway foyer,Walk towards the white door on the left and turn left into the kitchen. Walk straight past the  white chairs and past the dining room. Wait at the doorway to the foyer. ,"['0eb1323894e041efa23d2f3e60efbe44', '725d4645400a47ef9b9beaa6e8f56f2b', '47f3befaf16a43449e3456cd8b9be9a4', '1e7c16e6cb054c9fbbeb15160bc11f73', '8bb3222421334f02a07273f14a9b2d32', 'f6a03fba4dfd415a8b65cce84ee21c19', 'd7f5f168d31547ce866159165b644da5']"
236,exit room on door left then head straight until large room with lounge chairs wait near table basket in room,Exit the room on the door to your left then head straight until you get to a large room with three lounge chairs. Wait near the table and basket in that room. ,"['bf0a1914849644f1a7941fe508f5fee9', '2043564288ac41a48c1e6caad1e7a48c', '6f0a4e9374f24721a85f9853e9381aaf', '67a696124eb54cb9bb570f28df5fb8ab', '5eaf782cc1e34b038bfa2d2fd383ab0a', 'aaaacb5ba3d54336ab642045633dd829', '2ab7cc6ff29e4f8298446de2fb2a3f01']"
237,exit bathroom straight through first arched entry way turn as mirror on right hand wall until double doors of glass,Exit the bathroom. Keep going straight through the first arched entry way. Turn left as you get to the mirror located on the right hand wall. Continue walking until you reach the double doors made of glass. ,"['24d1e0ee55a542b68d600b81eae4f4d4', '52c7f299950448828ac5d63482b5430d', '773f1d2ad9ed4d69933fb547167dc303', '50121b93b22d4afd974a914d344e08ab', 'b6ab88125f984cda94011fef788e23d0']"
238,walk along path with guardrail right at end of hall in doorway of bedroom on right,"Walk along the path with the guardrail to your right. At the end of the hall, stop in the doorway of the bedroom on the right. ","['6376b741b50a4418b3dc3fde791c3c09', '9e4c92fd7eb74504baecf55a3264716e', 'b564162b2c7d4033bfe6ef3dfb959c9e', 'b6c62c6714d44a7080c83ec374607bcb', '1679b5de39e548d38ba240f2fd99cae9']"
239,exit bedroom right end of hallway into other bedroom,Exit bedroom and take a right.  Walk to the end of the hallway and into the other bedroom. ,"['82d211ff84254b6a9b6ab1133a76f30f', '1e9343f1a2a944a6b1d6d6fc990f02cb', '72f16c850d5347b29b3955b350a58f5f', '6e511bffda164528bab7fc025b90ee7c', '8f0adb0cce834e04a0bf92f48219c04d']"
240,exit bathroom turn straight until chandelier on top of head,Exit the bathroom. Turn left and go straight until you get the chandelier on top of your head. ,"['6ba3c5669ef04b178b0a5de90249257b', 'dcbe971afee14c57beb3c76980ead77a', 'd53f0ba834c44251a32bf361031c931a', 'efcde89f131d4c51b2e9c22dd7e9a5e5', '6692c5cef5b544788c2ea96579658e24', '7e0b74a0d4754a3f9973ade6bb1739b4', '6b7940e7ecfa416ab2e6b93d3826a935']"
241,straight left first right near right side chair,go straight and take left and turn first right near right side chair. ,"['671995f09ead4d4cbdf7e0fd2ef11a13', '3985f9200dbd4793babb41dab6a6d156', '86231c45c6ac4672bd9c478bd0341335', '3aa2bb32a50049de842d066eff185b66', '9276c9a3c8964936a1250f7ebd7edbbf']"
242,move into hallway with tall house plant left forward doors left degrees left grey couch left toward steps turn steps then,Move into the hallway with the tall house plant to your left. Move forward and pass the two doors to your left. Turn 45 degrees to the left and pass the grey couch to your left. Move toward the steps and turn left. Ascend two steps and then stop. ,"['be9dc4c557ab45b19477fb63e382555a', '64ed61c6e14348b683954265ab72ed55', '091d2e9f7efa40e48732b0e02612f8cb', 'fa60177899f4443c920a4f7c86f25643', '82aa04ad31f640f09a9d7aa4a6fd224e', '505e4b7e84284f5da963ff84b8bac44c']"
243,stand so patio behind past dining table screen after front door turn into kitchen in doorway kitchen,"Stand so the patio is behind you and walk past the dining table and screen after that.  When you reach the front door, turn left going into the kitchen.  Stop in the doorway to the kitchen. ","['9276c9a3c8964936a1250f7ebd7edbbf', '5fc9ee5a54774739823437f476d70575', 'c06aae190b804b759496db0b88fe4820', 'c3c5e202b9a04a63ae33742fe9095936', '859a7c9c12c847d9a6860bd6d6bd635a', '177f67f4e2264d24996672f84cd38405']"
244,walk past plant over rug down stairs into bedroom sharp left into closet,"walk past the plant, over the rug, down the stairs. Go into bedroom and make a sharp left into closet. ","['35b1214591eb4a43a3f85d63973d43a5', 'f5a52ba78b2e4772a7315af44e0439e0', '2238391e894144e9aaf38aaa16433153', '4df525c1410447848d24dedb3c31a7be', 'f923d8ec1f32400c864837ba572fe199', '05c49a8b61034633ad57ae3527dac65d', 'b1477ef96be5470d9881a9f6c9f825ae']"
245,exit door turn past mirror first door on right wait by kitchen counter,"Exit the door and turn left.   Walk past mirror, and enter the first door on your right.  Wait by kitchen counter. ","['0d77dfd7a3894c1d83bd26c4a1c8e3ee', '501146779ece478696abb65fcce6ed48', '874be44e813a42559bfb7f474be3497c', '2c25ceddf2aa4f6182a84f2668b6635b', '858d6ec47f1045bbb9f2e5e0e1b380ae']"
246,stairs on left at top of stairs right sraight towards other stairs in front of spiral staircase,Go up the stairs on the left. At the top of the stairs turn right and go sraight towards the other stairs. Stop in front of the spiral staircase. ,"['f5a52ba78b2e4772a7315af44e0439e0', '739e48ca68834cf8891a90fc3c5bde9e', 'ebb265bc44bf4bc78621b09ab4771b8a', 'a87349504ff94c868c92181ad897e7be', '3d865f821f0c4627b23b835858c76647', '10edf51d497643788b3a583f72af03e7', '2bcf4fb2ce434ef3a24cb3c8c0fc4357']"
247,down hallway. at bottom of stairs turn right into dining room stop,"Walk down the hallway., at the bottom of the stairs turn right, walk into the dining room and stop. ","['c0f278be26a44d46abe9d00341125de0', 'ac7dada90385448a8e7d69f76022cf5b', 'dc3f0346c4a14ce4acd3d6dfc983c07a', 'c1a3dc19c1154eb79d45f72d4885016d', '143533f78ff64e93b911ec7868911688']"
248,walk way down stairs next at second bottom step of stairs,Walk all the way down the stairs next to you.  Wait at the second to bottom step of the stairs. ,"['99a52967cf2c4da6832f9de0bad6ef2d', 'ee4b64b51d51492ba75339f30dbab962', 'fdfeed5766974ae2bcd56e05a7de3117', '00e1ca9383af4c7ba86241fdeeb73819', 'dc24c0e57e874e40a3ece84d23c012e2', '8e9f6d822fb04edd9c2217d223af3f9d', '1ec7b02628964cedb052c29579e6d404']"
249,straight turn table couch into large room right into exercise room stop in doorway on left,Go straight and turn left passed the table. Go passed the couch and into the large room. Turn right into the exercise room and stop in the doorway on the left. ,"['c929b31b97a14f91b1cadb318a4a8353', 'a73871837379498eb16527c6b9c9aa20', 'b5145233e4ab457ba0c31f9eb20307bf', '35fbae92aa284ba19652ccb31f4cff9c', '6f5e70ae957d4a95af44068aa4946744', '5cdd513110c54c72b6d9be6f351d32df', '54af55e2794d41cbae1f57d9e152809d']"
250,turn near glass office,Turn around and stop near the glass office. ,"['b5dcbc0109a344a281d8ae467ccf3fc2', '0a54fc26e394486d9e7c4eac0bf68520', '0c1a9bf48a2641048e4c373e72b2ff39', 'f4809ed551014d72b46cdad86c80d504', 'b76709a4ede44a26964499b4594f848a', '65218a3b8cc942b18957d64c9300b41b', '9fd04d03a1d741ce93ea66bd45dd4331']"
251,turn around past stairs through doorway right into other room ahead there,Turn around and walk past the stairs and through the doorway. Take a right and go into the other room that is straight ahead and wait there. ,"['b470d552bb6149059743c6aaca2b3705', 'dddeccce9b044629a9ffd5c61e8ea1cf', '498ad4add3424a4eaf28355ded64c622', '96d3ea8a25b347e4b097f070a1cba15e', '7dcc99131ec74b968cb9d728c49220e0', 'f41c2851f4b241fcad3f8f15378da53b']"
252,walk forward painting of light bulbs once first hallway left before again,"Walk forward pass the painting of the light bulbs. Once you pass them, turn down the first hallway to your left and stop before you can turn again. ","['d83f83e5a99249608591aab25b7263c8', '5b5bd1eac4e6462d8c6677b90a4cf9a9', 'ea267fdbbce84d83850f3dccea185546', '01f032e3a9734c4f8ea08b3236abe03f', 'b3401d49d1364e87b067e354154ba4bd']"
253,walk out of sauna into massage room walk around massage beds through door at far left turn through first door on left wait near sinks,Walk out of the sauna into the massage room. Walk around the two massage beds and go through the door at the far left. Turn left and walk through the first door on the left. Wait near the sinks. ,"['e0a910e3d4374cf9811487e78a5447a4', '841296be493a4195892a1cb14c95ffc2', '021e6fb21e5c47b587fabb26689ff55f', '6ea742331ac84fb9ae24a1b8d76bcf8a', 'e6e19fd376c544b58035a32bd44ed8d4', '4ed50a2f86384de599f06df862d17b10', 'c5fe339f452f4eddb9659f812c38c748']"
254,exit building through entryway on patio just outside front door,Exit the building through entryway. Stop on patio just outside the front door. ,"['56a9271c94ae455aa37d8e751fe782b1', '25fcb7deb9344557a5084b91d6564584', '8ed24114308b42b6ab1ddebf3b3a6541', 'def212eb7c6644d19129693d7301cc0d', '577bcd8b4957430ea30e90bc6dc5dca6', 'c7828415afe64434b4ae153750568149']"
255,enter door right wall right again at bathroom entrance door,"Enter the door and turn right passing the wall. Turn right again, and stop at the bathroom entrance door. ","['5da6b235e84743968b6f0b1bd75e250d', 'ba4dee4c0dd9410480e5ddeb625cdc88', '1bbb3bf17efd4fbea301b8f2194d15ab', '5ea05ade19e4462eae79d583f3656cca', 'a605b7adeebf49c580e5ba30e5ca025e']"
256,walk around bed forward at foot of bed with patio on right enter bathroom through door on right in bathroom across from shower,Walk around the bed go forward at the foot of the bed. With the patio on your right enter the bathroom through the door on the right. Stop in the bathroom across from the shower. ,"['e7bdd12ac3f3497fbfdead1aca566941', '0f5c56e60cbf429eb30903125c3035b6', '401c33266eca4b04be4f4f3cc3b1cfe6', '35a21f771ab04beb822d7262329d194e', 'b7f6e59a538545ae851c5b92e723d3e9', '25fd42e757ba44a3ac83a72232f46b78', '9114a9de6a67441b801696e2ba8a1003']"
257,walk on stairs at window,Walk straight to stairs and go down them. Stop on stairs at window. ,"['a102630f0cb84c32abc75f27b7712424', 'b3b697d0fd2d41f29a861e8411c732bd', '85849923dc9e46eda0168f62c0fb43f3', 'ab0f99b210bb4556b7fc18190126480b', '0836acc78091475dbba186b98e05792a', '9ddd0d8326b44a038d3985d96ffbb2a1', '959878d8792948b5888684622f4eca36']"
258,turn in front of statue.head spiral staircase head half-way down stairs after landing on stair next wall outlet,Turn left in front of the statue.Head down the spiral staircase. Head half-way down the stairs after the landing. Stop on the stair next to the wall outlet. ,"['b02ebc952fcf4ff0942c56b2b3251b44', 'd63f17ffd240402899fc90e069e20da0', '2123d2d754d741d2b1de4ea8328bba51', '90dcb8a526504454b728d3f7951f153f', 'bacef43d28c74751a7bd62578d443053', '3c8b0995c325481a85ad4648931e5fde', '80e307b885d1427e859c654eb2f74042']"
259,down hallway past restrooms elevators small lobby with telephone,Walk down the hallway past the restrooms and some elevators.  Stop when you pass a small lobby with a telephone. ,"['a39bc73eb9f64cbaabfca03100692305', '6693377c80b04bb994dd3b7a26cd75ee', '8067c649a55045d79e0ef8908e174b14', '72dc0c6d62414bbaa9fe67ecfe6305e3', '9baaef79e7484c8e9929f78df52fc3df', '063eee6149194f3abc6f297e290068fa', 'a66ff11e61dd489994fba110d257025e']"
260,exit closet then bathroom via door right ninety degrees right then pass through doorway ahead of,Exit the closet and then exit the bathroom via the door to your right. Turn ninety degrees to the right and then pass through the doorway ahead of you. ,"['cc7ea01bcb0b4d358b8b34625e11d843', 'ed1015d3d3f84c79885ded306617eeb4', 'f4054160a6f445239913e0d2e20a8448', '795af89129d44ba9a2513be917aa2e75', 'e0047ba33fdb49c499dab9d25da633a8']"
261,walk forward down hall onto section of floor from wood here,"Walk forward, down The hall. Step onto the section of the floor which goes from wood to tile. Stop here. ","['a2e6626d7a7e4c7297e0609c92aa7945', 'c34505b3a744494daa6dbed3e9308119', 'ffd2d7780984422f8e1f8f6f79ea89af', 'ccfc7026f4c6494ca251076c85aa906c', '01b9c25e9cc946f6a7a53688577e2fc3']"
262,walk towards large bookshelf right into first doorway before bookshelf down hallway sculpture in front of sculpture,Walk towards the large bookshelf.  Turn right into the first doorway before the bookshelf.  Walk down the hallway to the sculpture and stop in front of the sculpture. ,"['c3252976460541b2b3f3f0e120a3e999', '4a8e3e54dff24b6d823116967b9394e1', 'd3864482f6bf42ada7aa0574b0f69f48', '8e9d71e0515e46d6a9b0d2e8dd1a50fc', '4bc28cee06d54af9aef263db6f9f2016', 'b09e4d4c48154b58914cf98dc3d8983a', 'cffa1c807d2c4a708aa1e5f42aeba106']"
263,turn right down hallway turn wait near round table,Turn right and down the hallway. Turn left and wait near the round table . ,"['248492258fd5435c8276f59f63ddf0ef', 'c55fa077761c4154af4b26da88eee80d', '744eba592017466eab0da528e0cfdf7c', 'f53e378ee8fa4edc8cbf2ffcb4a99899', 'cd680b57443748fcae2de7c8e39970ad', '4307032328c04a388a3e6ae2897aa44a']"
264,away from bookshelf next room walk through toward staircase up stairs about steps up,"Walk away from the bookshelf. Enter the next room and walk through it, toward the staircase. Start up the stairs and stop about two steps up. ","['5764e704c4574c34b7a579260f191e7c', 'fc30206582bb494190095c4439e2da29', 'bbbe225834074bb0a3fb31a3e1e80685', 'db3dafef140f44508a4130b29e3dc1bc', '217b34f2c019478ea2b734c13e16b62b', 'ca660fbd1a384380a372ad79f760e1d9', 'b90801209e564a309883d214b02a6195']"
265,closet painting print with heads light switch,"Go to the closet
Go to the painting
Go to the print with six heads
Go to the light switch. ","['27b904430e4e48acb818e2ab80f183e3', '0672a86275c14b148e8618ecde714e06', '837b0a58fa8b4820a3c07e0c89ccfc60', 'b5b07238f2f94494b5d16390855584cb', '1c2209fa44fc48c7b7ce7981bafc4ccf']"
266,head until closet wait inside,Head straight until you get to the closet and wait inside. ,"['b192bc595e9b4d61963030b9f8e01f4b', 'c6221b7f72c04623a8396e3f3bb14bfa', 'aaab09df2ec34ea584e93e42ad0cf8e4', '54fd5c128cbe4b2599804db60290ea4a', '48c8e8de5830459aa06ebaa4ae2b91ad']"
