src,tgt,path
walk past bathroom right stairs wait at pears,Walk past bathroom. Make right down stairs. Wait at pears. ,"['ec0421cc61c64f6f8692d327d6838fd5', '02253cded39e4f26a34c483d645ebcb7', 'fa065de5315940abb64684e68f6d686a', '9940d688fe8f4fb784cd7d64908fdf4d', 'd8cb55a17c6e42c785e62d5cdd27a21f']"
exit bathroom immediate right stairs at top,"Exit the bathroom, take an immediate right and go up the stairs, stopping at the top. ","['58aeb039d7dd4fa4b26e70e77df07938', 'db0e4e7b77c04948b581a11f633df145', 'a33fe858085149e8908942d0bf98767f', '96490c4da78240058d1f76a07ed95c9d', '68e4c4477aa442cbbb9a9f1e54b9b831', 'f1b191033043441987b8ebf1bb55002c']"
bathroom right into bedroom walk through bedroom into bathroom in front of sink,Leave the bathroom and take a right into the bedroom. Walk through the bedroom into the bathroom and stop in front of the sink. ,"['24d10bcad3b84d3a942f76fc34c2b210', '7cb2c4bc9ad84463b4d0c6a91b8c4640', '70f4a1eb60744999ba4a1f63fef62afe', 'eef89e7a055443d8825cf94f092aaa35', '395d4594592e423ea7a0e1618dd384aa']"
turn flight of stairs at bottom out into hallway wait by doorway next dirty poster,"Turn around and go down the flight of stairs. At the bottom, step out into the hallway and wait by the doorway next to the Dirty Dancing poster. ","['8f9f3441c9714b36ae836fb9c0f8427e', 'c23f26401359426982d11ca494ee739b', '397403366d784caf804d741f32fd68b9', '3c6a35e15ada4b649990d6568cce8bd9', '55e4436f528c4bf09e4550079c572f7b', 'c629c7f1cf6f47a78c45a8ae9ff82247']"
walk toward fireplace right once room with fireplace building onto patio once doors,"Walk toward the fireplace. Take a right once you enter the room with the fireplace. Exit the building, and go onto the patio. Stop once you pass the doors. ","['1948f7cff5b04572b43c105a61df7a6d', '35b3d70f47994598aedb510108752797', '17be6f4e233546548c6c03fef0459044', 'a2e6626d7a7e4c7297e0609c92aa7945', 'd1de08c84e9e4f42a0acaeee738df23a', '99dc41ba4676449d8fc37890a38ad9e3']"
walk past dining table refrigerator turn left after through archway in front of closet,Walk past the dining table and refrigerator and turn left after going through the archway.  Stop in front of the closet. ,"['491b9b2d5e63400f9b448e5603dd05ae', '1b48df86b7a149fa8e90161265def866', 'ca75317572dc44509427cf7b2caecda6', '410b3939a8c24ab8858782fa544d704d', 'cc356636fdbf45769882f5912bc6d009']"
walk through living room past tv on wall on left into hall stop between tall green plants,"Walk through the living room, past the TV on the wall on your left. Continue into the hall and stop between the two tall green plants. ","['da03259fb98d42f2a9b67f29399dc0cd', 'f21573f2d2f244fd9e176c94f75b063f', '0163f2c462ed46a08eb3dbce625c9a9d', 'dc69d1d9957248c0a29e8044c49989e3', 'af73d4fc48ee4f6f95f8b66b640785a5', '624b17d75c344a0e8122c7b0c6858dce', '59fe136fc3e141c2b9c55378d1b39f1e']"
walk forward down hallway bedroom at end of hallway once doors,Walk forward down the hallway. Enter the bedroom at the end of the hallway. Stop once you pass the doors. ,"['9d691cb5fdfc46d995836e1ea82465d7', '88ffbea957e34cd09d0ce2d3290e9694', 'b1a1885860a54b8cb99c6f4ac19999a5', 'f15cd6746d1f4b7a804ede38d47cfa03', '5fdff4b578f24ff98a213299f3d91576', '696ce593a39d47ef9acf6902ee134861', 'd1af2f90794243db807d60a07050941c']"
closet right left in hallway library area once room,"Leave the closet and take a right. Take a left in the hallway, and enter the library area. Stop once you enter the room. ","['942b118a4bc64ec898ed9c6fd4b85edb', '4262bd54789f4caf839be008248e4d90', 'b2f31140a9d0482096da4ac481fb8a56', 'b09e4d4c48154b58914cf98dc3d8983a', '4bc28cee06d54af9aef263db6f9f2016', '8e9d71e0515e46d6a9b0d2e8dd1a50fc', '9376619fe9f04b57afe602afe554c680']"
walk out of bathroom across room into closet near exit door in closet stop next shelf on left wall,Walk out of the bathroom and across the room into the closet near the exit door. In the closet stop next to the shelf on the left wall. ,"['34d076b898bd4f539d5be04c0bacc57e', '21e7d627b7b34355a52f3c88cb2ad446', '57bdea1f5113402d9b4a65450e030424', '4dcc93d2006646e19f9b2748dcb4f860', '3560fdb7b97c462ab565c8946b77ecef', 'f252cace47cd461c8c2277dfb9aaf9c5']"
turn hall archway on left into door on left stop,"Turn around and go down the hall, passing the archway on the left. Turn into the door on the left and stop. ","['69a31cef77324a89bd8e595fdb84792d', '1f8182156ccd41f39c552ac05ab24877', '43b70941e6e24925b9097684ddf31c84', 'b2d31a869b644c738697a237d4e724b5', '3d6c224493aa4b8fa5fd16e7ae8e2d66', '9c36a2928f3d436181736d628dd0a694', '59163d8ecd3a41038c79bad8d0b51d7e']"
walk past chair then room slight right once near dresser,"Walk past the chair and then continue down the room, making a slight right and stopping once you're near the dresser. ","['ebb3e7ba8ccb4ff7b4fecb33cddfdd03', 'cbeb8dcdebb34b1daf46a8aa1983139e', 'b618cd7f70bd430a9af0e0770738cb41', '4fca698177d14f40a2008174193dcfb5', '3c0f16214b6042aba12ad974fc5dd6f6']"
in hallway then stairs on left wait on second step,Go left in the hallway then go up the stairs on the left and wait on the second step. ,"['23c4fc0e00a741c8a631f859af1af23c', '7507d89cc172439dbd238eee34cda7a4', 'e1ac54fab83242b889a95320811c68e5', '4069c437611e44c69edf8175de76b201', 'e94cd6b986b5456990723fa8d9612759']"
walk towards hallway left of giant mirror walk end of hall wait in doorway,Walk towards the hallway to the left of the giant mirror. Walk to the end of the hall and wait in the doorway. ,"['ec2928853f894aa7a626b0acd9558682', 'd04235af28864de198fe4238abaff938', 'b6c0d4f530cd484f839280dc337e7d53', '1f3873c0acd04d2d9a8e9b78bf0845b2', '4b646636c2794122bf6bc8b9384ad270', '7901efbc66164868af7ce285241951a8']"
steps right at kitchen counter,"go up steps and turn right, stop at kitchen counter. ","['b2af08ee382d4746b235a45d0a7032bb', '7d708a5b80ee45979870bae83b2bdd44', 'c29e99f090194613b5b11af906c47dab', 'aa4cfd0126dd4c6a9c533ca9cb4a033d', '5bc41a6e3b7748149e0e8592c5b4d142']"
cross by couch stop,Cross by the couch and stop. ,"['0cdb095289ae43a3a716316982c644c3', '6b5e5f6e0e77495eb9333b0a741116f9', '88ba02c6e8b84144bbecf10aa1667dd7', '98ada9cf49e441539d91b3f45839539b', '861d5b5760744c5b91f9f3fc50b9f5e3']"
head inside through archway on right wait in entryway by door,Head inside and through the archway on the right. Wait in the entryway by the door. ,"['b069ad2395fc4ed08ad6f9b4dfed1b0a', '5a3f574cd3634d189563c54ac751232b', '255411360fbb4cb88190ec9bbc7f5a45', '5a897a166f6e4d3a8e2b2d94f03f86a2', 'c73a6f3769bc471588158d99186b80e6']"
head indoors kitchen stairs then exit through doorway wait on door mat,"Head indoors, pass the kitchen and the stairs. Then exit through the doorway and wait on the door mat. ","['7e6cf443a6d640f3a025d6fb921473e4', 'c4a8c200eed74f25ae76b881489a2f4e', 'c2ccfcbf74824095965c81c64f15081e', 'fe7d2c6830bd45f680b43a6a5298d218', '452f930d3b20485088ca14b716189512', 'f2e403f149ae451eb8fc5ab27ec96e9f', 'f0f377d341c34670bcd9d861d903d747']"
hallway at first hallway on left right after through doorway,"Walking straight down the hallway, and turn left at your first hallway on the left. stop right after you pass through the doorway. ","['8112f9278bdf4dfbad53e140b846620c', 'ff07f2a04de04dac84e8ed51039c87ca', 'eed2f80b1b7c4900bdf96f39bee92c8f', '7cb6009fdb57404ba1fcd02165db6deb', '65a868262eb74921b6a6792baa995ddd', '05869550e06a407a8dedf24f887c9b26', '00f205a65f374c5299b67176c0852e91']"
turn stairs turn tables near counter,Turn around and go down the stairs. Turn left and continue passed the tables. Stop near the counter. ,"['7cd02069ac1546319b95be27fc04d7b5', '7743b72f7c3d40749363873307eef9c9', 'c29e99f090194613b5b11af906c47dab', 'aa4cfd0126dd4c6a9c533ca9cb4a033d', '5bc41a6e3b7748149e0e8592c5b4d142']"
walk through door through exercise area out door wait in hallway,"Walk through a door and through the exercise area, and out the door. Wait in the hallway. ","['5d943867a94a46e1a7d2a4d077855a57', '458b288354be4060a2e6cf582d959d0f', 'bd624a2988bf4a94839472180cc1b3d5', '954fc1d65dba428eb808fb9dce1b8a97', 'ae2a7dc3c3e545b98e2fcb374de658d1', 'f45d421d04e34220b2aaf9246b6dcdd1']"
across room with banquet table wait in doorway large room,"Go across the room with the banquet table and wait in the doorway, that is facing another large room. ","['966a5fa6c049457c8ddafb05f6063443', '2335251f91a843c3ae05e1fec482438a', 'ec1fb8a79e2f4a46a7e758dd00834caf', '852a2ee396184da494b42dea29a8b467', '53608606748f45c5a69723f062f1baa3', '0b4d4c11e012429e8dd6013502094ef3']"
walk through open door with car image next into room with blue flower bedding stuffed animal on bed,Walk through the open door with the car image next to it. Walk into the room with the blue flower bedding and the stuffed animal on the bed. ,"['177f59d6a9464008ac5c0a186a3a4acc', '0f8ff514226040b6bb8c1a2c9cb168f2', '649674968430426d81caa4ab2e2b60d5', '468dc41d313746d0a4bcda690794d9bb', 'de4d37507ef94c05b71156cdb6af3067']"
shower head towards stairs upward stairs on last step before top,Leave the shower and head towards the stairs leading upward. Climb up the stairs and stop on the last step before the top. ,"['7b99fad7a2b243dea6b50dc65d03fbc7', '5908a457f37a470aa0e8cd389f31d438', 'f3d9a22621e14992b8b3fb9776f0395b', 'e5bfa9c293cd44e1b14953500462dd72', '3264da900f47425c8c062f909db9abe0', '04e0d7506a0849009fabf4c10fa74a40', 'a6ce5d580416478b847a83a2c537a637']"
walk toward leather chair right into kitchen turn past refrigerator right,Walk toward the leather chair and turn right. Walk into the kitchen and turn left. Walk past the refrigerator and turn right and stop. ,"['b6018ae2d13248f7a12edbf31f70b04d', '01b439d39a8f412fa1837be7afb45254', 'f032c9ee981a4462914468785f0a4abe', '62e602fc5b85463dbd8f48ba625d05ef', '1e951fdbfd9d45bbaf935da945f5425c', '814d9aba371640e5a70bcb7833bfe08f', 'ca75317572dc44509427cf7b2caecda6']"
walk base of stairs turn up stairs turn up second flight of stairs stop at top,"walk to the base of the stairs, turn left and walk up the stairs, turn left and walk up the second flight of stairs, stop at the top. ","['73f8049b6198422aa5f2edfc71fe423b', 'cc896d0984cc4661bff9087a0df6967c', '5a72c23b99fa40f1bcd9dfbb60340b05', '6c34dde402304953a9416e2781de607f', '1239dba1b6234964b420a56d82d79d7a', 'efa99d80f5024c999633851f5875c6c7']"
enter house stairs wait at top of stairs,Enter the house and walk up three stairs. Wait at the top of the stairs. ,"['bb06442335d542cbb733939a78fcff36', 'ce55b83aa694421a89a9866dc7c6b7b6', 'd12a35cb161641318a92f9e5dd8915db', 'fb7e82f5b99340eabb9a579772176b33', 'bc28e77e30a94f76aee87ac07949ecc4', 'ee34e33014c94bf79cda5892e2ec6b24', '976a7a79035a4583a10624453174d94e']"
enter bedroom through doorway walk across room balcony wait behind couch,Enter the bedroom through the doorway. Walk across the room to the balcony and wait behind the couch. ,"['92b53ec4323443c1a4f64e6722f0e8f1', '4e928c0ff7504619b7c308a354c78f5f', '9231543c6c484c939a501338ad8c1db4', 'd28afd8227934d9e9845a151839f2501', '2f2cac014c7e4877baf8c45690e5f8a4']"
stairs until in room with pool table,Go down the stairs until you're in the room with a pool table. ,"['cec85e863640449ba709b48888b2f979', '7836a4fb73d74cc7a304edb0611b3e87', '0802d2974e944abba7d4184ff4efcb96', 'de39b37b08d24f05b97cf063b440bd46', '1bf2be9b79f147d18297ef7490a7dd30', '03436fa468854cc682421c9ecd9d39f2']"
toward sink area on left doorway on left slight left bedroom toward bed there,Go toward the sink area on the left. Enter doorway on the left. Take a slight left and enter the bedroom. Go toward the bed. Stop there. ,"['831638cad3de404d809a05f679dbd18e', '0965af34fada440a89bfb3700aa800c1', '52ca4f1175c846b0ab281ed9135b1040', 'fbe8732f87f94c35a49be695f2a556de', 'd907086855c9497dacdb77503099ba10', '21947bd34d904610867e83c1e9a962fb', '98c6fbbda3974ec28803750a3b68a03f']"
turn right in front of fireplace walk around chairs in front of stairway,Turn right in front of the fireplace. Walk around the roped off chairs. Stop in front of the stairway. ,"['c03d15601e3d49d2875de7dd3776e237', '4f505ab96ae5409782db6ae4fe9fc724', '8113cb01c8d944a1af5f2dfc7f008b0c', '7e3147f2e0c24ea78fe71609fd36e7ee', 'fd433ad8502149ec849c4c51bb989e4a', 'dd6b2993f882400ab51f9e8c38148b7a']"
head towards staircase begin stairs wait on step,Head towards staircase and begin going up stairs. Wait on the 6th step. ,"['3b67353ba5e64feeb33884037fa14ce6', 'f97419bd62f6462fbbf8fb8adc4dea29', '951cc0dd0e75482fafe85cec96376fb0', '682b19fbab024b3ca81f62cd4d287ca7', 'e4fb260227ff4f5d88c1ccc8e4dd1e75', 'd3e8b8227bae4a98a88d307d56b02908']"
stairs then right straight wait near table sofa chairs,Go up the stairs then U turn right and go straight. Wait near the table and sofa chairs. ,"['397403366d784caf804d741f32fd68b9', 'c23f26401359426982d11ca494ee739b', '29fb3c58b29348558d36a9f9440a1379', '6d11ca4d41e04bb1a725c2223c36b2aa', '65763d39327d429aacb2ec382859e562', '3731cd0ad6784067a5a3819f071d7878']"
down stairs wait near bottom,Walk down the stairs and wait near the bottom. ,"['912e008205b74654bdcc87040f5f4c6e', '62533098a1fd487f9743940284a4d598', '70fe6e3a6efc4b71b835cdd4c29d4a68', '4592c86e6f7a467aaddcf03cdff7a2ad', '2440860450f140fe93cac6c281f89af8', '52d0bc7591a34dae8557db931cfabca6', '505e4b7e84284f5da963ff84b8bac44c']"
bathroom right right again past table with glass counter top once on marble floor,Leave the bathroom and go right.  Turn right again and walk past the table with the glass counter top.  Stop once you step on the marble floor. ,"['f174e6311c664bec80f0c38ae893cdc7', '23fb860d05574aa2b5ee29ffff796065', 'f29cfc331fc44746a060813f1e9ef52c', 'fa2cbbb20350430bb00b7039031111a7', '3a0f734a7b4e46c4bcee77b78c5e3f6a']"
walk toward staircase right through room right past chairs in hallway,Walk toward the staircase and turn right. Walk through the room and right past the chairs. Stop in the hallway. ,"['60399cb6fd9d42a7a364f155fd152361', 'd193970cbeac4faeae3b9bfee5c35125', '6c160b1ba8564c09ab8491590266f7f1', '6d88b250b28f4f28afbcf356f6a33909', 'f59c4b4ff65e4a539bbba69e67de001e', '73de1f780b804c92a2441ac92c442c49', 'b6bcf908137f4b2d83d66e5fe6c35656']"
stairs then hallway then last room right by nightstand,"Move up the stairs and then turn left. Continue down the hallway and then enter the last room to the right, stopping by the nightstand. ","['2b77964bfc6a4f108f39b7849c8d6778', 'a4eb4ea3912a494490258a8444f247ec', 'f88ef0b879b04fe5a8d0d4d96f9ebf6d', 'b814285591cc43f799874da54f847a54', '9b9d929b88994a0eaf69501c2cab3444', '3fc59e198b3c42c5a7f5c5b2bce5e18c', '5832fa0c60c9437b88f5d4caea1ee610']"
start in game room toward foosball table turn into bedroom walk through bedroom at bathroom door,Start in the game room. Walk toward the foosball table. Turn left into the bedroom. Walk through the bedroom. Stop at the bathroom door. ,"['b2c816b0e9a84252a6411c6cfd4996e5', '4779786357a34dfe938caf804044cac7', 'b6169f1b5e0a42489ed145131e9ae486', '77fa4b2db2cf45a0abff5833de1bc079', '3e1701bd29544e47b96d79d370933af5']"
turn steps turn into room wait near mirror on left,Turn left. Go up the three steps. Turn left and go into the room. Wait near the mirror on the left. ,"['e5c5d8fa1ad94d97bcdb74e69e938ea0', 'de68d1221d1749b392aff06c48512cf0', 'd7ec37565be24b1ca1d4f99c34fc1632', '15791b161c944d269ae3727bf19fc1a6', '751a95287d8e487eac608776f5e3a546', '8c6c60e241e34c0685171c4f55322940', 'c3b46ef0552142a6b62a45cd30f26de8']"
exit massage room turn walk down hallway slight in lounge room door on left between benches,exit massage room and turn left walk straight down hallway turn slight left in lounge room and enter the door on the left. stop between two benches. ,"['96b2d4806ff04e0db5a62b331f7aa96f', 'de87e9646a654e1e8f4e96593a3adbc3', 'aaaacb5ba3d54336ab642045633dd829', '2ab7cc6ff29e4f8298446de2fb2a3f01', '55fb9841019e4ca3ad98f4ff85ea4cab', '5edc5a5dae1c427f95ac930e3bf68700', 'b3495296a3cd428f9bafcca85050c313']"
walk through doorway on left that towards open doorway across way pool in from door next green push,"Walk through doorway on the left that, walk towards the open doorway across the way that passes the pool, stop in from the door next to the green push. ","['8064037d7d254b2a9802647b9a31cfcb', 'f1c9fadd26764ee48670b32571ce9c39', 'fa1f71b06e894ff6a4e2173012ac7a3b', 'a3dfeebf01d24ad19c009d3527fcb6cc', 'b893c0ba92f64e9e88698fc4225fad6a', 'ce09a3da7596439c8685be5f408afb81']"
way down stairs wait at bottom of stairs,Go all the way down the stairs. Wait at the bottom of the stairs. ,"['a62b78b98e414ae38ff01d404942ea6c', '6c776704f4dd44f985b0bf2d441dfb92', 'e31bd661d403497ea15d4398dd336795', 'df71c020d73c4eacb3e06d46cf1c3815', '6b24c7c2fd9e4849b75eedd5298958d7', '565aa4a845ba446481601ca648d03807', 'c798bb077d24453292903021021e1c23']"
walk down hallway turn into office wait there,Walk straight down the hallway. Turn left into the office and wait there. ,"['6c50bf7573324bc7916c9fffe9dfa5e8', '752a99e21990412498c7a151cbf6c14b', 'dd1319e5f88a4dd88ccceee489e790cd', '9a11dae14ce9444287b881b54c6f6b6e', '5252c175323b4df68d458d98ed00b9bc']"
walk potted plant right into room with sink tub,Walk to the potted plant. Make a right into the room with the sink and tub. ,"['1a5d5a4463014eeaa8f2db66650f6940', '44055efcd82c49daae1cb67e4fc79ebe', '1e6190c84052401d8a2435eed54b82aa', 'f461fdc9b5c54386bcb1350bf4072015', '0fc2263dc29f4a9183320eddd33edb58', '15b25adcf9bb4a0f8c751138a651dd8b']"
right of white bookcase through archway until green vase,Go to the right of the white bookcase. Keep going through the archway until you reach the green vase. ,"['9c90566989cb4f9f80b711d1a9876e1a', 'c4df223ecc934eb2bea5b55b8e004a4f', '4ebc0f4d023c482ca72e8129ca042c13', '83404d7a12fc4749bf0cfff1e1e07987', 'a31805b1b6dc4947a9cf22f16850a142', '183ac7f2f1eb4905bee16fbb5e4155bd']"
walk outside right walk past patio furniture stop by hedge next steps,Walk outside and turn right. Walk left past the patio furniture and stop by the hedge next to the steps. ,"['23b907de91124aa2893d467659eac406', '722c4e53817f48e2aff7099315376b15', '85b3bc6bf3e047bb924b20564c1c47c9', '69141978abaf487fb2c072c0777b4329', '900464c036ff4986a9bcec42a95e4b5d', 'beb3568bb9034fc9bbc1a63e63c45ad4', '9d9c29287e4849b99c4b3472163ecee2']"
walk large open doorway right diagonally across room tile on floor doorway step inside,walk straight to large open doorway.  turn right and walk diagonally across room to star tile on floor.  go to bedroom doorway.  step inside. ,"['fa2cbbb20350430bb00b7039031111a7', '3a0f734a7b4e46c4bcee77b78c5e3f6a', 'cffa1c807d2c4a708aa1e5f42aeba106', '0965af34fada440a89bfb3700aa800c1', '52ca4f1175c846b0ab281ed9135b1040', 'fbe8732f87f94c35a49be695f2a556de', 'd907086855c9497dacdb77503099ba10']"
walk through door on left left into room wait at bathroom doorway,Walk through door on the left and make a left. Walk into room and wait at bathroom doorway. ,"['e4f3d7d539964b0f9a4f1eec24fa137e', 'cb13e2147d6c4c569608bb8b2428173a', '92d6818b71734d2c9267bc430f4f6490', '527045377f974a7d8853d919218b98bd', 'bb09a1003aa448bbb67af68428ea1103', '9d97383beaee4ec78b8b20f44ba72c3b']"
stairs wait at door left of blue couch at bottom of stairs,"Go down the stairs, wait at the door to the left of the blue couch at the bottom of the stairs. ","['d50783f58f914110a0f004c6bb6d45b3', 'f44ccc9e567343a68ff23446d307e2ba', '87e3e31b4414414fad08de33c71c87d7', '8c7bc7fdae714fb3aad1bb54816b486b', 'e2b6e4010b84450c8dbc7e86258b4502', 'd9a69bc7b8a54a319a05f366120ef056', '21d840b73bd84f65a97d2577b9a7cc6c']"
through archway opposite chalk board right brown table through archway step into room stop,"Go through the archway opposite the chalk board, turn right and go passed the brown table and through the archway and take a step into the room and stop. ","['410b3939a8c24ab8858782fa544d704d', 'ca75317572dc44509427cf7b2caecda6', '67ff5dc94eeb4675ba3a2074ee5ca22c', '6a0eb3cedc6847efa4044c75ad7649a8', 'b64a2ef467bb455aaee16a04bd9d7812']"
turn around into saloon door,Turn around and walk into the saloon door. ,"['d89bee33427d45a5bd0cd5e1b4f8dd34', 'be1a38f2bec74de79395d0a938234d38', '448d573c3160494c8715d3e7314f4afb', '32c98b5cfe804dd185a8cb6ecb91a63f', 'f5cf1375de4d46b38328dda8ebcd6ce0']"
right down long hall in entryway on left first white table,Go right and down the long hall. Stop in the entryway on the left passed the first white table. ,"['6e4b2abf0398452a978c13defc6b50e8', '0cf8882315304c74b3169543eaed24d0', 'f09279e00a4a482a8fa26981999bac00', '669fb3436cd44c578b743ab544e25a35', '5ec8f0868ac44bbd85851663a777ca9b', 'dfca24101c684319a572d6f7cc7d16de', '06c88433ed80477f90bd50f8dc25e7de']"
head past pool jacuzzi door towards bedroom before bedroom,"Head past the pool and jacuzzi enter the door, towards the bedroom. Stop before entering the bedroom. ","['de07efde6cf54bc28fd6f33b7cffe069', 'cbe15594a98c4a37a65d00306195d2f4', 'a9a28cd4e91b4bc389e476fedba66069', 'fef2e4d985b549a4964fe7790b4aea77', '98f2fab16dc44b82aef16383127ee674', '4890b24fbb59414892ca854895896126']"
walk out of gym turn in front of mirror into bedroom turn past bench in front of cabinet,Walk out of the gym and turn left in front of the mirror into the bedroom. Turn left past the bench and stop in front of the cabinet. ,"['b764ec949d984ac081ab4d3d1a27ade0', 'c897acc78a8e4555b14b85fc32d41f3e', 'fff5e96c0ba6429f86d5d8b3a74df5e2', '929158cc8c424c099a601a36e0fc2270', 'b18be3157a6f4b9c8df154f8f310099d', '7478c47d6145458d80f89cee31d70fdf', '05c5f3286f8a433ba542fa13ab0a8c7b']"
walk into kitchen onto patio stand in patio doorway next breakfast bar,Walk into the kitchen and go out onto the patio. Stand in the patio doorway next to the breakfast bar. ,"['a39174aaa3fc4dff9b37f30cc03ab21b', 'a56b95f00285452db9a95545aed7b5b7', 'df0ddfb1212245bbbf95a6c94ed19b6c', '5dbdae2b57b94479b9b3e9da9865e791', '7501f49042a644d68f92007ab28552e1']"
straight bar with stools then straight wait by stairs,Go straight and pass the bar with the stools and then continue going straight and wait by the stairs. ,"['53ae399ddaee4ffba2d5c078644fc3e6', '91b2405dc77f4ea7941586109ab53e7f', 'c2ccfcbf74824095965c81c64f15081e', 'fe7d2c6830bd45f680b43a6a5298d218', '452f930d3b20485088ca14b716189512']"
dining room walk in direction of couch ahead walk behind couch in front of wall next oven,Leave the dining room and walk in the direction of the couch ahead. Walk behind the couch and stop in front of the wall next to the oven. ,"['f2e1eac31dd34fc9b84caa47fea535be', 'b41bccd9fcf7498e9a30af072d8e3c2e', '04f548967cfc4e98a79d1e2494b74606', '32c24c4472f346bc9b292f8997b9f82e', '5186e9da9b4248318f4a7ae68d11da15']"
exit room turn into bathroom wait near sink,Exit the room. Turn left and go into the bathroom. Wait near the sink. ,"['7316bf706e0d46368334c0c989210e09', '0226db0c3fd24410bbf3db5e6d4b24fe', 'bad24c9d90de493eb70e9af8383ee598', '6cd8366dfa39465fb61693361c81e8e3', '01b11b701b5240a48be2a86171daa245']"
turn at green vase into main work room right towards entry at desk with white trash,Turn left at green vase into main work room. Turn right and walk towards the entry. Stop at desk with white trash can. ,"['442842acfa87449da76aeffe232f79b5', 'a31805b1b6dc4947a9cf22f16850a142', '83404d7a12fc4749bf0cfff1e1e07987', '4ebc0f4d023c482ca72e8129ca042c13', '114842471cc14a44b2f284c943281413', 'a25a1fe848e044a99a0033878cd108bb', '2ed7a969a2d94eeb992c4f49d59cf0d7']"
walk into very large living room until stairs dining room wait at second step,"walk into the very large living room and keep going, until you reach the stairs to the dining room, and wait at the second step. ","['ad5ce2ccac0f476ca5641ddade3e360e', 'd70562eaa1a143048948fd57fd695b27', '4348fadcd604455aa9a69c3a277a5dbc', 'c8c384520f0d46b19b905e75d9bc9137', '7f6e045f0e714a1a9dda7b0861491c4a', '07711134346f4b9ba59ab031845bfca8']"
walk down hallway by with man hands,Walk straight down hallway and wait by painting with man clutching his hands. ,"['7f870283a3db4ded839990a74bf6e5dc', 'd55affbb927443bcb1d4eb451e0e7ebb', '5dfe8adbc3794bebafeedcd832b04ea4', '8a3c83d4c42842c8a60866868b7730a4', '7c3b9e689c014d5483dcee581d6c53f5', '9b9d929b88994a0eaf69501c2cab3444']"
bedroom right down hall exit room left in doorway living room,Leave the bedroom and take a right. Walk down the hall and exit the room. Take a left and stop in the doorway to the living room. ,"['13f2aa8423ca4c5588d50631355707c0', '39274e52c0404a0a85a1705133468817', 'cc9907d0bebb4c78938322ea577af7cf', '4262bd54789f4caf839be008248e4d90', 'b2f31140a9d0482096da4ac481fb8a56', 'b09e4d4c48154b58914cf98dc3d8983a', 'cffa1c807d2c4a708aa1e5f42aeba106']"
turn around desks walk towards kitchen down stairs at bottom of stairs,Turn left. Walk around desks. Walk towards kitchen. Walk down stairs. Stop at bottom of stairs. ,"['83404d7a12fc4749bf0cfff1e1e07987', '5377d17e2a4d4a28abf16709e02e97a9', 'cdf8c27ef42e466d90f49aca714a048b', '96f74cf5e546437a8711fa4922e819bd', '9a0c4ca175e74e0aa31c73c3c82519dd', '42913b04e9ae46119b6463db48e36c02']"
forward into kitchen through door at end of kitchen left in doorway garage,Walk forward into the kitchen and through the door at the end of the kitchen. Take a left and stop in the doorway to the garage. ,"['d7f5f168d31547ce866159165b644da5', 'f6a03fba4dfd415a8b65cce84ee21c19', '8bb3222421334f02a07273f14a9b2d32', '1e7c16e6cb054c9fbbeb15160bc11f73', '47f3befaf16a43449e3456cd8b9be9a4', '725d4645400a47ef9b9beaa6e8f56f2b', '2d4a32746fa2462b8e6ee8fe2b56c653']"
walk across kitchen towards table walk left of table out of room then right at bottom of steps,Walk across the kitchen towards the table. Walk to the left of the table out of the room. Then turn right and stop at the bottom of the steps. ,"['d3ccd0cf1696423694339822a7eb52b0', '6561b21dac894dfca3473db3037dbfad', 'cdafd704291841daaa57ce008a95a06a', '19c6928f8cc64d7aa2d18a48e3b4ee21', '50629d10507840cba1ff155045d3f76b', 'fea7a9db41944d76b258036b046d13aa']"
room past counter white chairs on pgi doormat,Leave the room going past the counter and the white chairs. Stop on the PGI doormat. ,"['d04235af28864de198fe4238abaff938', 'ec2928853f894aa7a626b0acd9558682', 'f7f45009c1104301acdb2e5d77816d25', '7137b01d7c4046d1a75d715255a7e586', '3e146699b4664f1daa68bc3cc6061e55']"
stairs wait at top once wooden floor,"Continue up stairs and wait at the top, once you reach wooden floor. ","['bfa1a9e0fc4a4fe7b493a3f8e94ba39a', 'ece8adfc0c1f40c4a55d2404f0130396', '661de8ab47bc46d89c2424fdec1ab9c6', '490cdc47322b4907810cb18194de7469', '54d172eea1274b8aabd7f625254f7dcd']"
exit bathroom down hallway first into bedroom wait in front of bed,Exit the bathroom and walk down the hallway.  Take the first left into the bedroom.  Wait in front of the bed. ,"['93c08bd7515647fdaa2ef1239d02983c', '75ea3fd50c1c4b8ba66dccc4247b8b81', 'f83bb8e47d09487baa9d10adcd584e0e', '0e3f642a048a42389f79daf3adee6970', '4fb8c9be319e4784b4b66f9ca5d839ab', '1daae4b7becc43949516096170ce2a76']"
exit room double doors on right right steps right into room wait near coffee table,Exit the room using the double doors on the right. Turn right and go up the steps. Turn right into the room. Wait near the coffee table. ,"['79fd427050944d0488ebf017220b7ff4', '892384f1c7bb45fa8c24eb2fa583ebb4', 'f51948f5b87546778b9800960f09f87b', 'aaa698435aea48b29113314ee362e54b', 'eeef7235c2fe462eb3e0481b001537ce', '3c835d3fe5b0448e86389930ab0c3e97']"
